city_id,city,Cloudiness,Humidity,Latitude,Longitude,Country,Max Temp,Wind Speed
165,acapulco,40,70,16.86,-99.89,MX,89.6,4.7
166,matara,100,89,5.95,80.54,LK,78.17,6.49
167,port blair,100,79,11.67,92.75,IN,81.0,8.39
168,chabahar,36,80,25.29,60.64,IR,85.1,4.56
169,conceicao do araguaia,44,36,-8.26,-49.26,BR,93.2,8.05
170,aguada de pasajeros,85,94,22.39,-80.85,CU,77.0,4.7
171,shimoda,100,96,34.67,138.95,JP,62.01,1.01
172,waingapu,9,84,-9.66,120.26,ID,71.08,4.09
173,sao gabriel,89,90,-30.34,-54.32,BR,49.96,12.91
174,sisimiut,28,74,66.94,-53.67,GL,49.42,5.91
175,gizo,80,77,-8.1,156.84,SB,82.4,15.39
176,bubaque,100,84,11.28,-15.83,GW,79.59,16.82
177,jacksonville,75,59,30.33,-81.66,US,93.0,13.87
178,fortuna,1,77,40.6,-124.16,US,63.0,17.22
179,vysokogornyy,100,95,50.12,139.15,RU,63.36,2.24
180,alofi,20,73,-19.06,-169.92,NU,77.0,10.29
181,isangel,17,93,-19.55,169.27,VU,66.2,4.7
182,coquimbo,41,71,-29.95,-71.34,CL,57.2,5.82
183,avera,1,49,33.19,-82.53,US,93.2,6.93
184,kahului,40,66,20.89,-156.47,US,84.2,20.8
185,bijie,100,93,27.31,105.29,CN,66.51,3.78
186,yar-sale,0,79,66.83,70.83,RU,45.75,4.41
187,nanortalik,51,54,60.14,-45.24,GL,51.03,9.93
188,romny,70,80,50.75,33.47,UA,57.88,4.0
189,sao filipe,18,81,14.9,-24.5,CV,75.79,9.44
190,kushima,96,93,31.46,131.23,JP,71.65,2.89
191,vila franca do campo,75,77,37.72,-25.43,PT,69.8,9.17
192,coulommiers,90,82,48.81,3.08,FR,64.99,2.24
193,ilulissat,75,70,69.22,-51.1,GL,48.2,5.82
194,praia da vitoria,75,88,38.73,-27.07,PT,68.0,10.65
195,pore,71,74,5.73,-71.99,CO,82.83,3.04
196,aleksandrovsk-sakhalinskiy,75,84,50.9,142.16,RU,61.16,11.88
197,monduli,40,82,-3.3,36.45,TZ,60.8,9.17
198,la maddalena,1,60,41.21,9.41,IT,73.4,6.93
199,alexandria,0,57,31.22,29.96,EG,78.8,11.41
200,saldanha,0,66,-33.01,17.94,ZA,51.8,9.78
201,lebu,100,89,-37.62,-73.65,CL,53.62,18.7
202,uruacu,5,34,-14.52,-49.14,BR,78.01,0.51
203,ravar,92,19,31.27,56.81,IR,85.37,9.62
